age,male,edu,time_served,charges,n_theft,n_sex_abuse
25,1,10,1,1,0,0
52,1,10,0,0,6,0
43,1,12,0,0,0,0
28,1,11,0,0,5,0
30,1,14,0,1,2,0
50,1,10,0,0,0,0
32,1,12,1,0,0,0
30,1,12,0,0,0,0
30,1,17,0,1,0,0
23,1,5,1,0,30,0
29,1,7,1,0,1,0
28,1,12,0,0,4,0
39,0,14,0,1,0,0
30,1,12,1,1,0,0
33,1,12,0,0,0,0
51,1,12,0,1,0,0
44,1,10,1,0,0,0
27,1,10,0,0,2,0
65,0,12,0,0,0,0
30,0,9,1,0,4,0
41,0,10,0,0,0,0
33,0,10,0,0,3,0
31,0,12,0,1,0,0
31,0,12,0,1,5,0
40,0,10,0,0,0,0
29,1,5,1,0,0,0
45,1,11,0,0,0,0
31,1,12,0,0,2,0
22,1,12,0,0,5,0
39,1,12,0,0,2,0
28,1,9,0,1,0,0
50,1,11,0,1,0,0
43,1,10,0,0,0,0
23,1,12,0,0,0,0
23,1,8,0,0,0,0
34,1,17,0,0,3,0
38,1,12,1,0,3,1
29,0,12,0,1,20,0
33,1,12,0,0,0,0
33,1,11,1,1,0,0
32,1,9,0,0,5,0
56,1,17,0,0,4,0
38,1,9,1,0,5,0
35,1,11,1,1,1,0
25,1,12,0,0,0,0
36,1,10,0,0,0,0
43,1,8,1,0,0,0
26,1,12,0,0,0,0
33,1,9,0,0,2,0
47,1,6,0,0,0,0
32,0,12,0,1,0,0
58,1,18,0,0,0,0
46,1,12,0,0,0,0
47,1,9,0,0,0,0
27,1,12,0,0,0,0
33,0,12,0,0,0,0
40,0,12,0,0,0,0
33,1,5,0,0,0,0
24,1,11,0,0,0,0
26,1,12,0,0,0,0
38,0,12,0,0,4,0
36,1,11,1,0,0,0
29,0,12,0,0,0,0
32,1,12,0,0,0,0
21,0,10,0,0,3,0
46,1,12,1,0,0,0
48,1,10,0,0,0,0
37,1,9,0,0,0,0
43,1,11,0,0,0,0
32,1,9,0,0,1,0
49,1,12,0,0,0,0
35,1,12,0,0,0,0
48,1,9,0,0,0,0
49,1,12,0,1,0,0
44,0,10,0,0,0,0
30,1,12,0,0,0,0
24,1,12,0,0,0,0
40,1,12,0,1,2,0
44,1,12,0,0,0,0
27,1,12,1,0,0,0
23,1,11,0,0,0,0
50,1,12,0,0,0,0
40,1,12,0,0,0,0
37,1,11,0,0,0,0
34,1,12,0,1,0,0
46,1,12,0,0,0,0
35,1,12,0,0,0,0
49,1,12,0,1,0,0
32,1,12,0,1,0,0
27,1,12,0,0,0,0
37,1,10,0,0,0,0
44,1,15,0,0,0,0
40,1,10,1,0,0,0
42,1,10,0,0,0,0
42,0,11,0,1,0,0
53,1,9,0,0,0,0
33,0,10,0,0,0,0
60,1,9,0,0,0,0
64,1,17,0,0,0,0
29,1,11,0,1,0,0
25,1,10,0,0,0,0
29,1,9,0,1,2,0
51,1,17,0,0,0,0
38,1,16,1,1,0,0
41,1,12,0,0,0,0
29,1,10,1,1,0,0
33,1,12,1,1,0,0
26,1,10,0,1,0,0
30,1,12,0,1,0,0
28,1,11,1,0,0,0
28,1,12,1,1,2,0
31,1,12,1,0,0,0
56,1,17,1,0,0,0
48,1,20,0,0,0,0
30,1,11,0,1,0,0
28,1,12,1,0,0,0
23,1,10,1,0,0,0
24,1,11,0,0,0,0
23,1,12,0,0,2,0
47,1,11,1,1,0,0
28,1,12,0,0,0,0
28,1,12,0,1,0,0
26,1,12,1,1,0,0
43,1,12,0,0,0,0
27,1,10,0,1,0,0
29,1,12,0,0,2,0
27,1,11,0,0,0,0
27,1,12,1,0,0,0
35,1,10,0,1,0,0
28,1,12,1,0,0,0
27,1,12,0,0,0,0
25,1,9,0,0,0,0
32,1,14,1,0,0,0
22,1,12,1,0,2,0
27,1,11,0,1,0,0
29,1,10,0,1,0,0
26,1,9,0,1,0,0
41,1,12,0,0,3,0
55,1,12,0,0,0,0
38,1,11,0,1,0,0
22,1,12,1,0,0,0
26,1,10,0,0,0,0
27,0,9,0,1,0,0
32,1,12,0,0,0,0
30,1,11,1,0,0,0
28,1,12,0,1,0,0
32,0,15,0,0,0,0
35,1,12,0,0,0,0
33,1,11,0,0,0,0
31,1,12,0,0,0,0
37,1,9,0,0,0,0
53,1,11,0,0,0,0
56,1,12,1,0,3,0
36,1,12,0,0,0,0
28,1,11,0,1,0,0
41,0,12,0,1,0,0
30,1,11,1,0,0,0
23,1,10,0,1,0,0
26,1,12,1,0,0,0
26,1,12,0,0,0,0
31,1,17,0,0,0,0
27,1,12,0,0,0,0
25,1,7,1,0,0,0
29,1,11,0,0,0,0
42,1,12,0,0,0,0
51,1,12,1,0,0,0
47,1,12,0,0,2,0
28,1,11,0,0,0,0
35,1,12,0,1,0,0
37,1,11,0,0,0,0
26,1,12,0,1,0,0
33,1,10,1,0,1,0
38,1,17,0,0,0,0
45,1,11,0,1,2,0
52,1,10,0,1,1,0
33,1,10,0,0,3,0
34,1,15,0,1,0,0
27,1,4,0,1,3,0
44,1,12,0,1,2,0
31,1,15,0,0,2,0
27,0,10,0,0,0,0
67,1,9,0,1,3,0
37,0,12,0,0,1,0
31,1,11,0,0,1,0
39,1,12,0,0,4,0
39,1,9,0,1,0,0
67,1,5,0,1,0,0
45,1,12,0,1,0,0
33,1,12,0,0,1,0
34,1,12,0,1,0,0
29,1,12,0,1,0,0
32,0,11,0,0,4,0
27,1,12,0,0,0,0
34,1,10,0,0,0,0
31,1,16,0,1,10,0
46,1,10,0,1,0,0
46,1,17,0,0,1,0
35,1,12,0,1,0,0
40,1,12,0,0,0,0
29,1,12,0,0,3,0
36,1,12,0,0,15,0
23,1,12,0,0,0,0
44,1,12,0,1,0,0
28,1,12,0,1,1,0
46,1,11,0,0,3,0
36,1,12,0,0,0,0
38,1,9,0,1,0,0
28,1,12,0,0,2,0
28,1,15,0,0,3,0
23,1,11,0,1,0,0
31,1,9,0,0,2,0
34,1,12,0,0,0,0
35,1,10,0,0,3,0
32,1,12,0,0,0,0
60,1,9,0,1,5,0
28,1,12,0,0,0,0
34,1,12,0,1,0,0
42,1,12,0,0,2,0
31,1,10,0,0,1,0
32,1,5,0,1,0,0
45,1,10,0,1,0,0
36,1,10,0,1,0,0
50,1,10,0,0,3,0
21,1,12,0,1,5,0
26,1,12,0,0,0,0
23,1,12,0,0,2,0
37,1,11,0,0,1,0
42,1,12,0,0,2,0
32,1,12,0,0,2,0
22,1,12,0,1,6,0
25,1,10,0,0,0,0
22,1,4,0,0,0,0
42,1,6,0,1,3,0
29,1,12,0,1,0,0
47,1,12,0,1,0,0
27,1,12,0,1,0,0
25,1,12,0,1,0,0
31,1,12,0,1,5,0
29,1,12,0,0,0,0
32,1,11,0,1,0,0
35,1,12,0,0,0,0
41,1,12,0,0,0,0
55,1,10,0,1,0,0
26,1,10,0,0,4,0
21,1,12,0,1,0,0
36,0,12,0,0,0,0
30,1,12,0,1,1,0
44,1,4,0,0,0,0
28,1,12,0,0,2,0
36,1,9,0,1,0,0
31,1,12,0,0,11,0
57,0,11,0,0,0,0
41,1,12,0,0,0,0
54,1,9,0,0,0,0
36,1,8,0,1,10,0
53,1,11,0,0,10,0
31,1,11,0,0,0,0
33,1,12,0,0,0,0
24,1,8,0,1,0,0
25,1,10,0,1,0,0
24,1,9,0,0,0,0
42,1,9,1,0,0,0
59,1,9,0,1,2,0
52,1,12,0,1,4,0
49,0,12,0,1,0,0
42,1,15,0,1,12,0
49,1,12,0,0,0,0
